Stage,Round,Date,Team A,Team B,A Score,B Score,Best of,Winner,Loser,Score,,,,,
RTP Arena Cup Group A,1,01 February 2024,Agency,FTW,5,13,1,FTW,Agency,44%,,,,,
RTP Arena Cup Group A,1,01 February 2024,AL-QATRAO,SAW,16,14,1,AL-QATRAO,SAW,7%,,,,,
RTP Arena Cup Group A,2,01 February 2024,FTW,AL-QATRAO,13,6,1,FTW,AL-QATRAO,37%,,,,,
RTP Arena Cup Group A,2,01 February 2024,Agency,SAW,7,13,1,SAW,Agency,30%,,,,,
RTP Arena Cup Group A,2,01 February 2024,AL-QATRAO,SAW,6,13,1,SAW,AL-QATRAO,37%,,,,,
RTP Arena Cup Group B,1,02 February 2024,KOI,ABT,13,1,1,KOI,ABT,86%,,,,,
RTP Arena Cup Group B,1,02 February 2024,OVERFRAG,Rhyno,10,13,1,Rhyno,OVERFRAG,13%,,,,,
RTP Arena Cup Group B,2,02 February 2024,KOI,Rhyno,13,8,1,KOI,Rhyno,24%,,,,,
RTP Arena Cup Group B,2,02 February 2024,ABT,OVERFRAG,13,11,1,ABT,OVERFRAG,8%,,,,,
RTP Arena Cup Group B,2,02 February 2024,Rhyno,ABT,13,6,1,Rhyno,ABT,37%,,,,,
RTP Arena Cup Playoff,1,03 February 2024,FTW,Rhyno,0,2,3,Rhyno,FTW,100%,,,,,
RTP Arena Cup Playoff,1,03 February 2024,SAW,KOI,2,1,3,SAW,KOI,33%,,,,,
RTP Arena Cup Playoff,2,04 February 2024,Rhyno,SAW,0,2,3,SAW,Rhyno,100%,,,,,
IEM Katowice 2024 Play-In,1 High,31 January 2024,C9,Rebels Gaming,10,13,1,Rebels Gaming,C9,13%,,,,,
IEM Katowice 2024 Play-In,1 High,31 January 2024,EF,BetBoom,13,1,1,EF,BetBoom,86%,,,,,
IEM Katowice 2024 Play-In,1 High,31 January 2024,HEROIC,Astralis,13,11,1,HEROIC,Astralis,8%,,,,,
IEM Katowice 2024 Play-In,1 High,31 January 2024,ENCE,BIG,9,13,1,BIG,ENCE,18%,,,,,
IEM Katowice 2024 Play-In,1 High,31 January 2024,FURIA,The MongolZ,14,16,1,The MongolZ,FURIA,7%,,,,,
IEM Katowice 2024 Play-In,1 High,31 January 2024,Spirit,Apeks,13,0,1,Spirit,Apeks,100%,,,,,
IEM Katowice 2024 Play-In,1 High,31 January 2024,GL,M80,13,10,1,GL,M80,13%,,,,,
IEM Katowice 2024 Play-In,1 High,31 January 2024,Rooster,VP,4,13,1,VP,Rooster,53%,,,,,
IEM Katowice 2024 Play-In,1 Low,01 February 2024,C9,BetBoom,2,1,3,C9,BetBoom,33%,,,,,
IEM Katowice 2024 Play-In,1 Low,01 February 2024,Astralis,ENCE,0,2,3,ENCE,Astralis,100%,,,,,
IEM Katowice 2024 Play-In,1 Low,01 February 2024,FURIA,Apeks,1,2,3,Apeks,FURIA,33%,,,,,
IEM Katowice 2024 Play-In,1 Low,01 February 2024,M80,Rooster,2,0,3,M80,Rooster,100%,,,,,
IEM Katowice 2024 Play-In,2 High,31 January 2024,Rebels Gaming,EF,0,2,3,EF,Rebels Gaming,100%,,,,,
IEM Katowice 2024 Play-In,2 High,31 January 2024,HEROIC,BIG,2,1,3,HEROIC,BIG,33%,,,,,
IEM Katowice 2024 Play-In,2 High,01 February 2024,The MongolZ,Spirit,0,2,3,Spirit,The MongolZ,100%,,,,,
IEM Katowice 2024 Play-In,2 High,01 February 2024,GL,VP,2,1,3,GL,VP,33%,,,,,
IEM Katowice 2024 Play-In,2 Low,02 February 2024,VP,C9,1,2,3,C9,VP,33%,,,,,
IEM Katowice 2024 Play-In,2 Low,02 February 2024,The MongolZ,ENCE,1,2,3,ENCE,The MongolZ,33%,,,,,
IEM Katowice 2024 Play-In,2 Low,02 February 2024,BIG,Apeks,1,2,3,Apeks,BIG,33%,,,,,
IEM Katowice 2024 Play-In,2 Low,02 February 2024,Rebels Gaming,M80,2,0,3,Rebels Gaming,M80,100%,,,,,
IEM Katowice 2024 Group A,1 High,03 February 2024,FaZe,Rebels Gaming,2,0,3,FaZe,Rebels Gaming,100%,,,,,
IEM Katowice 2024 Group A,1 High,03 February 2024,EF,Falcons,2,0,3,EF,Falcons,100%,,,,,
IEM Katowice 2024 Group A,1 High,03 February 2024,NAVI,Spirit,1,2,3,Spirit,NAVI,33%,,,,,
IEM Katowice 2024 Group A,1 High,03 February 2024,Apeks,COL,0,2,3,COL,Apeks,100%,,,,,
IEM Katowice 2024 Group A,1 Low,04 February 2024,Rebels Gaming,Falcons,1,2,3,Falcons,Rebels Gaming,33%,,,,,
IEM Katowice 2024 Group A,1 Low,04 February 2024,NAVI,Apeks,2,1,3,NAVI,Apeks,33%,,,,,
IEM Katowice 2024 Group A,2 High,04 February 2024,FaZe,EF,2,1,3,FaZe,EF,33%,,,,,
IEM Katowice 2024 Group A,2 High,04 February 2024,Spirit,COL,2,0,3,Spirit,COL,100%,,,,,
IEM Katowice 2024 Group A,2 Low,05 February 2024,COL,Falcons,1,2,3,Falcons,COL,33%,,,,,
IEM Katowice 2024 Group A,2 Low,05 February 2024,EF,NAVI,1,2,3,NAVI,EF,33%,,,,,
IEM Katowice 2024 Group A,3 High,06 February 2024,FaZe,Spirit,0,2,3,Spirit,FaZe,100%,,,,,
IEM Katowice 2024 Group A,3 Low,06 February 2024,Falcons,NAVI,2,0,3,Falcons,NAVI,100%,,,,,
IEM Katowice 2024 Group B,1 High,03 February 2024,Vitality,ENCE,1,2,3,ENCE,Vitality,33%,,,,,
IEM Katowice 2024 Group B,1 High,03 February 2024,HEROIC,G2,1,2,3,G2,HEROIC,33%,,,,,
IEM Katowice 2024 Group B,1 High,03 February 2024,Monte,GL,0,2,3,GL,Monte,100%,,,,,
IEM Katowice 2024 Group B,1 High,03 February 2024,C9,Mouz,1,2,3,Mouz,C9,33%,,,,,
IEM Katowice 2024 Group B,1 Low,04 February 2024,Vitality,HEROIC,1,2,3,HEROIC,Vitality,33%,,,,,
IEM Katowice 2024 Group B,1 Low,04 February 2024,Monte,C9,2,0,3,Monte,C9,100%,,,,,
IEM Katowice 2024 Group B,2 High,04 February 2024,ENCE,G2,2,0,3,ENCE,G2,100%,,,,,
IEM Katowice 2024 Group B,2 High,04 February 2024,GL,Mouz,0,2,3,Mouz,GL,100%,,,,,
IEM Katowice 2024 Group B,2 Low,05 February 2024,GL,HEROIC,1,2,3,HEROIC,GL,33%,,,,,
IEM Katowice 2024 Group B,2 Low,05 February 2024,G2,Monte,2,1,3,G2,Monte,33%,,,,,
IEM Katowice 2024 Group B,3 High,06 February 2024,ENCE,Mouz,0,2,3,Mouz,ENCE,100%,,,,,
IEM Katowice 2024 Group B,3 Low,06 February 2024,HEROIC,G2,0,2,3,G2,HEROIC,100%,,,,,
