Stage,Date,Team A,Team B,A Score,B Score,Best of,Winner,Loser,Score,,,,,
IEM Road to Rio 2022 Europe RMR A,04 October 2022,bne,eternal fire,16,14,1,bne,eternal fire,7%,,,,,
IEM Road to Rio 2022 Europe RMR A,04 October 2022,sprout,forze,16,14,1,sprout,forze,7%,,,,,
IEM Road to Rio 2022 Europe RMR A,04 October 2022,g2,ecstatic,19,17,1,g2,ecstatic,6%,,,,,
IEM Road to Rio 2022 Europe RMR A,04 October 2022,c9,b8,16,0,1,c9,b8,100%,,,,,
IEM Road to Rio 2022 Europe RMR A,04 October 2022,faze,gl,16,6,1,faze,gl,45%,,,,,
IEM Road to Rio 2022 Europe RMR A,04 October 2022,spirit,1win,28,25,1,spirit,1win,6%,,,,,
IEM Road to Rio 2022 Europe RMR A,04 October 2022,aurora,fnatic,4,16,1,fnatic,aurora,60%,,,,,
IEM Road to Rio 2022 Europe RMR A,04 October 2022,nip,astralis,16,12,1,nip,astralis,14%,,,,,
IEM Road to Rio 2022 Europe RMR B,04 October 2022,Outsiders,monte,16,9,1,Outsiders,monte,28%,,,,,
IEM Road to Rio 2022 Europe RMR B,04 October 2022,Vitality,fantasy,16,6,1,Vitality,fantasy,45%,,,,,
IEM Road to Rio 2022 Europe RMR B,04 October 2022,falcons,k23,16,9,1,falcons,k23,28%,,,,,
IEM Road to Rio 2022 Europe RMR B,04 October 2022,Heroic,saw,16,5,1,Heroic,saw,52%,,,,,
IEM Road to Rio 2022 Europe RMR B,04 October 2022,ence,heet,16,10,1,ence,heet,23%,,,,,
IEM Road to Rio 2022 Europe RMR B,04 October 2022,mouz,og,16,10,1,mouz,og,23%,,,,,
IEM Road to Rio 2022 Europe RMR B,04 October 2022,big,sangal,16,3,1,big,sangal,68%,,,,,
IEM Road to Rio 2022 Europe RMR B,04 October 2022,navi,illuminar,16,5,1,navi,illuminar,52%,,,,,
IEM Road to Rio 2022 Europe RMR A,05 October 2022,forze,1win,14,16,1,1win,forze,7%,,,,,
IEM Road to Rio 2022 Europe RMR A,05 October 2022,ecstatic,b8,16,19,1,b8,ecstatic,9%,,,,,
IEM Road to Rio 2022 Europe RMR A,05 October 2022,astralis,eternal fire,16,9,1,astralis,eternal fire,28%,,,,,
IEM Road to Rio 2022 Europe RMR A,05 October 2022,aurora,GL,10,16,1,GL,aurora,23%,,,,,
